Title,Date,Link,Content
财经信息 - 第一季度黄金需求飙升21%,2016年5月12日,https://cn.investing.com/news/commodities-news/article-189228," 周四行业报告显示，由于交易所交易基金（ETF）买入，2016年第一季度全球黄金需求增幅达到历史新高。
世界黄金协会报告称，第一季度黄金需求同比增长21%至1290吨。..."
期货 - 黄金微升，但12月加息仍有影响,2016年11月16日,https://cn.investing.com/news/commodities-news/article-202327," 周三欧洲早盘，黄金走高，但由于对美联储12月加息的预期，涨幅受限。
截至3:50AM ET (08:50GMT)，纽交所大宗商品交易部12月黄金升$3.10美元，升幅..."
期货 - 耶伦讲话临近，黄金跌至4周新低,2016年8月25日,https://cn.investing.com/news/commodities-news/article-196823," 周四北美盘口，黄金跌至四周低点，因美国两份乐观经济报告加大了未来几个月加息的概率。
同时，众所关注的杰克森霍尔央行行长峰会即将揭幕，市场保持谨慎。
纽交所大宗商品交..."
黄金亚盘冲高回落 后市上涨动能仍足,2018年1月17日,https://cn.investing.com/news/商品-期货新闻/article-507484," 周三黄金亚盘早盘开盘1338.77美元，开盘后一度上涨至1343美元/盎司附近交投，随后冲高回落。
不过当前支撑金价继续上涨的因素仍足，在众多基本面利多因素的叠加下，..."
全球避险情绪回落 黄金多头遭打压,2018年4月23日,https://cn.investing.com/news/commodities-news/article-513856, 黄金上周累计收跌10美元左右，周一亚盘开盘仍面临较大压力走低，目前报1334美元/盎司，跌0.13%. 除了美元指数上周持续强势重返90关口意外，全球范围内的避险情绪回...
美联储“鸽式”加息 黄金扬眉吐气,2017年12月14日,https://cn.investing.com/news/商品-期货新闻/article-505893, 黄金亚盘继续昨日强势，早盘开于1255.73美元/盎司，盘中最高报1259.18美元，截至发稿，金价报1257.14美元/盎司。金价昨日开盘后于五月低位1244.45美...
48小时内大涨大跌 黄金市场现多空混战局面,2017年11月15日,https://cn.investing.com/news/商品-期货新闻/article-504364," 今日早盘除了亚洲股市出现集体大跌以外，黄金市场近48小时也不平静。周二黄金出现剧烈震荡后V型反转，上探1283.64美元/盎司位置。
虽然，今日黄金亚盘开盘小涨，振幅..."
巨量卖单再砸盘 黄金正在跌向更深的深渊,2017年12月6日,https://cn.investing.com/news/商品-期货新闻/article-505456, 黄金亚盘今日继续低开，周二黄金持续下跌，美盘最低下探至1260.90美元/盎司，创四个月新低。市场中再次惊现15亿美元名义价值的黄金遭抛售，同时，全球最大黄金ETF&n...
多重利好推动黄金六连涨 1300关口近在咫尺,2017年12月29日,https://cn.investing.com/news/商品-期货新闻/article-506584, 周五亚市黄金高开后维持在1295美元附近徘徊，距1300美元仅一步之遥。周四黄金再次收出阳线，已为近期来的六连阳，本月以来，黄金已累计上涨超过1.6%，今年累计上涨已超...
沙特反腐持续发酵 或驱动黄金后期走势,2017年11月8日,https://cn.investing.com/news/商品-期货新闻/article-503965," 周三黄金小幅上涨，目前于1277美元附近整固。周二黄金受美元走强影响，从1280美元/盎司位置大幅下挫10美元，至日内低点1272.06美元。
消息面上，特朗普税改再..."
期货 - 美国ISM报告在即，黄金近3个月高点,2016年2月1日,https://cn.investing.com/news/commodities-news/article-182361," 周一由于市场猜测美国疲弱增长数据或促使美联储推迟加息步伐，黄金近11月以来最高。
截至08:50 GMT，即东部时间3:50AM，纽交所大宗商品交易部2月黄金升4.6..."
黄金短期或面临空头反扑风险 长期仍看多,2018年1月24日,https://cn.investing.com/news/商品-期货新闻/article-507815," 受益于美元指数疲弱，黄金周三欧盘开盘拉涨，一度至四个月高位的1347美元。
消息面上，“通俄门”调查再出新进展。有媒体称，特别检察官穆勒计划就..."
期货 - 美联储推迟加息希望，黄金近3个月高点,2016年2月4日,https://cn.investing.com/news/commodities-news/article-182629," 周四由于对美联储今年加息能力的疑惑，欧洲盘口，黄金近3个月高点。
截至08:00 GMT，即东部时间3:00AM，纽交所大宗商品交易部4月黄金升1.20美元，升幅0...."
黄金继续上蹿下跳 美国税改不确定性支持金价,2017年11月16日,https://cn.investing.com/news/商品-期货新闻/article-504433, 黄金今日开盘报1278.11美元，周三盘中大幅震荡，振幅近15美元，盘中一度触1290美元点位，随后回落，终报1278.22美元/盎司，下跌1.98美元，跌幅0.15%...
新税改法案有望年内落地 黄金继续承压,2017年12月5日,https://cn.investing.com/news/商品-期货新闻/article-505383," 黄金今日开盘依旧位于昨日收盘点位1276美元/盎司附近徘徊。昨日金价依旧承压区间震荡，收于1276.11美元/盎司，下跌4.29美元，跌幅0.34%。
基本面上，在上..."
“压力山大”黄金下试200日均线 后市恐难喘息,2017年12月8日,https://cn.investing.com/news/商品-期货新闻/article-505605, 周五亚盘早盘，黄金维持四个月低点徘徊，目前仍位于1250美元下方交投。黄金本周以来面临多重利空压力，截至今日发稿，已经累计下跌2.59%。后市黄金或已形成较明显空头趋势...
黄金今日关注：FOMC鸽派声明或助金价蓄力上攻？,2018年5月24日,https://cn.investing.com/news/commodities-news/article-516300,英为财情  周四亚盘黄金维持震荡走势，交投于1294.33美元/盎司一线，此前，由于美联储5月会议纪要显示FOMC决策者同意维持渐进加息的步伐，声明显鸽派，助力黄金一度冲...
黄金今日关注：黄金遭重挫回吐年内所有涨幅 但投行仍看多金价后市,2018年5月2日,https://cn.investing.com/news/commodities-news/article-514523, 黄金近日遭到重挫，在接连跌破1320和1310美元，甚至在周二毕竟1300心理关口后，回吐了年内的几乎所有涨幅，不过，周三亚盘早盘，金价呈现较为抗跌的走势，有所回涨，目...
避险情绪缓和黄金涨幅受限 但净多头仓位增加,2018年4月17日,https://cn.investing.com/news/commodities-news/article-513405, 黄金周二亚盘早盘微跌0.03%，目前报1345美元，叙利亚的紧张局势此前助金价上涨后，周一影响力回落，市场认为特朗普政府后市或不会对叙利亚有更进一步的行动，避险情绪因此...
全球市场交投清淡 黄金测试1295美元位置阻力,2017年11月24日,https://cn.investing.com/news/商品-期货新闻/article-504865, 周四黄金小幅收跌0.08%，报1290.97美元。盘中，金价受美元指数下挫支撑，一度录得日内高点1291.44美元/盎司后转跌。今日黄金高开于1291.34美元，目前于...
黄金周跌2.52% 后市或受区域政治危机支撑,2017年12月11日,https://cn.investing.com/news/商品-期货新闻/article-505682,"黄金上周跌幅达2.52%，本周一亚盘开盘后维持在1250美元/盎司的关口下方交投，仍在金价四个月低位左右徘徊。
基本面上，美国上周五公布的非农数据如市场预期表现良好，市..."
黄金区间震荡 后市金价或因美元下挫受支撑,2018年3月13日,https://cn.investing.com/news/commodities-news/article-510530," 今日亚盘黄金维持在1320美元附近徘徊。周一现货金价再次上演V型反转，盘中震荡接近10美元。
周一，在市场缺乏重要经济数据及事件指引的情况下，投资者仍聚焦于周五的非农..."
利空因素连续叠加 黄金多头后市难突破,2017年12月4日,https://cn.investing.com/news/商品-期货新闻/article-505336," 黄金亚盘开盘跳空低开近8美元，目前依旧围绕1275美元/盎司盘整。周五现货金价冲高回落，短期上行方向遇到较大阻力。
技术面来看，黄金日线过去2个多月一直盘整于1260..."
急跌后横盘震荡 黄金后市或仍有强支撑,2018年3月28日,https://cn.investing.com/news/commodities-news/article-511860, 黄金周三开盘横盘震荡，目前报1346.50美元/盎司，涨0.08%.周二金价在大涨触及6周高位后急跌回撤，跌下1350美元一线。黄金下跌主要是由于周二美元反弹，加之，贸...
“恐怖数据”将来 黄金多头仍不可掉以轻心,2018年1月11日,https://cn.investing.com/news/商品-期货新闻/article-507176," 周三黄金受到中国或减持美国国债的消息影响，一度拉升15美元，随后回落。周四上午亚盘时段，现货黄金小幅上涨，目前在1320美元关口上下震荡。
今日中国外管局就该消息给出..."
期货 - 美联储官员讲话在即，黄金维持温和下跌,2016年9月28日,https://cn.investing.com/news/commodities-news/article-199045," 周三北美盘口，黄金收窄早前涨幅，市场关注稍后系列美联储官员讲话以获得未来加息方面更多线索。
纽交所大宗商品交易部12月交割的黄金跌至9月21日以来最低$1,325.5..."
黄金期货 - 一周展望： 6月27日到7月1日,2016年6月26日,https://cn.investing.com/news/commodities-news/article-192291," 周五英国公投结果为退欧，投资者追捧金银和其他避险资产，黄金至2年高点。
纽约商品交易所大宗商品交易部8月交割的黄金报1,318.15美元，升4.39%，早前最高至1,..."
期货 - 美国ADP数据乐观，黄金跌至2周低点,2015年9月30日,https://cn.investing.com/news/commodities-news/article-173624," 周三数据显示美国9月非农就业增长超预期，提振了对于其经济健康度的乐观，支持了美联储今年升息的观点，金价触及2周低点。
美国早盘，纽交所12月交割的黄金期货触及盘中低点..."
黄金近期或箱体震荡 等待美联储货币政策消息,2017年11月28日,https://cn.investing.com/news/商品-期货新闻/article-505026," 黄金今日开盘后一度向上冲高，随后遇阻回落。周一黄金美盘大涨，录得日内高点1299.13美元/盎司后，冲高回落，涨势放缓，再转盘整，终收于1294.36美元/盎司。
本..."
市场或已消化税改利好 假期临近黄金交投清淡,2017年12月21日,https://cn.investing.com/news/商品-期货新闻/article-506270," 周四黄金亚市开盘于1267美元，早盘维持在该点位附近。圣诞节假期临近，交投清淡。
GoldSilver Central私人财富总监Mun Chun Loh称，黄金从周..."
黄金美联储利率前承压 但多头或伺机而动,2018年3月21日,https://cn.investing.com/news/commodities-news/article-511273, 黄金亚盘走强，目前报1313.50美元/盎司，报0.17%. 周二金价因美元上涨承压下挫。受到加息预期的提振，美元指数周二重返90关口上方，创下近3周新高，为避险资产黄...
黄金今日关注：风险情绪继续回升 金价持续低迷,2018年4月27日,https://cn.investing.com/news/commodities-news/article-514266, 黄金周五亚盘早盘维持在近期1320美元/盎司的下方徘徊，目前报1316.82美元/盎司。受到连日来地缘政治风险的缓和以及10年期美债收益率的攀升，金价已经连续下跌多个交...
高盛：比特币不会像黄金一样满足投资者对多样化和对冲的需求,2017年12月13日,https://cn.investing.com/news/商品-期货新闻/article-505825, 黄金周三亚盘时段出现小幅下跌，目前于5个月低位1245美元附近交投。市场屏息等待北京时间凌晨3:00即将召开的美联储新闻发布会，届时，耶伦将参见作为美联储主席任内的最后...
美联储利率决议携手非农来袭 黄金多头下周狂欢？,2018年4月28日,https://cn.investing.com/news/commodities-news/article-514353, 本周黄金在持续上涨的美元和飙升的10年美债收益率重压下周线收跌，较前一周跌逾1%。下周，市场将迎来美联储利率决议（无美联储主席发布会）以及美国4月非农数据公布。预计届时...
黄金“闪崩”：一分钟现42亿美元卖单 但华尔街无人看空,2017年11月13日,https://cn.investing.com/news/商品-期货新闻/article-504203, 金价上周五盘中一度出现神秘大卖单，致金价短线跳水逾10美元。该卖单名义价值超过42亿美元，在一分钟之内被抛售，占当日日间正常交易量的10%，半小时内，黄金交易量暴增至6...
期货 - 美国公开市场委员会会议纪要在即，黄金跌至5年半新低,2015年11月18日,https://cn.investing.com/news/commodities-news/article-177105," 周三投资者关注稍后美联储最新会议纪要以了解未来加息更多线索，黄金期货跌至5年半新低。
欧洲早盘，纽交所12月交割的黄金期货报每金衡盎司$1,062.00，为2010年..."
黄金横盘震荡寻找新动能 后市仍受多重利好支撑,2018年4月10日,https://cn.investing.com/news/commodities-news/article-512821," 黄金今日亚盘早盘盘初在小幅震荡中走出了先抑后扬的走势，但随后下跌，目前跌约0.15%，报1334美元/盎司。
由于中美贸易战前景未明，且美国通胀数据及美联储3月会议纪..."
今日财经要闻：深广两地严控楼市；IMF展望中国2016增速6.6%；黄金暴跌40美元,2016年10月5日,https://cn.investing.com/news/economy-news/今日财经要闻：深广两地严控楼市；imf展望中国2016增速6.6；黄金暴跌40美元-199459, 10月4日晚间深圳政府出台“史上最严”楼市限购政策，政策对于深圳户籍居民家庭成年单身人士（含离异）在本市限购一套住房，非深圳户籍居民家庭需提供5...
